contract,entry_date,entry_credit,exit_date,exit_time_et,exit_debit,displayed_profit,gross_capture,net_capture,collateral,net_return_on_collateral,holding_days,annualized_realized_return,entry_visible
QQQ 2026-08-14 660 Put,2026-07-30,7.06,2026-08-07,15:46:38,0.16,687.92,0.9773371104815863,0.9743909348441926,66000.0,0.010423030303030302,8,0.47555075757575754,True
TSLA 2026-08-14 300 Put,,5.85,2026-08-07,11:51:19,0.35,548.4,0.9401709401709403,0.9374358974358974,30000.0,0.018279999999999998,,,False
AVGO 2026-08-14 365 Put,,7.41,2026-08-07,10:48:08,0.26,713.25,0.9649122807017544,0.9625506072874493,36500.0,0.019541095890410958,,,False
NVDA 2026-08-14 190 Put,2026-07-30,4.17,2026-08-07,10:41:39,0.11,404.37,0.9736211031175059,0.9697122302158273,19000.0,0.02128263157894737,8,0.9710200657894738,True
SPCX 2026-08-14 100 Put,2026-08-05,3.99,2026-08-07,10:39:43,0.25,371.91,0.9373433583959899,0.9321052631578948,10000.0,0.037191,2,6.787357500000001,True
SPY 2026-08-14 730 Put,2026-07-30,5.73,2026-08-07,10:23:31,0.11,560.08,0.9808027923211169,0.9774520069808028,73000.0,0.0076723287671232885,8,0.35005000000000003,True
